board_id,selected_alpha,train_mean_ap_at_alpha,test_mean_ap,test_mean_auc,n_test_images
01,0.8,0.630917968897839,0.5062912036021119,0.8374467528907855,120
04,0.75,0.6065879174380281,0.6285891891196925,0.8990884732004562,120
05,0.75,0.6105753798737324,0.6085227321046752,0.8947574738971772,60
06,0.75,0.6069240595033558,0.646386455413644,0.8899388129917729,61
07,0.75,0.6177701539639474,0.5326178654529075,0.8757147039856467,60
08,0.75,0.6074502253386515,0.641493112449781,0.930568202554576,60
09,0.75,0.6064041334017994,0.6525293823835691,0.8996962598544301,60
10,0.75,0.610019684498205,0.618205247907488,0.9108151823706854,32
11,0.75,0.6027844011900974,0.6907175572170253,0.918692056864421,60
12,0.75,0.6062942210111427,0.6536889581049968,0.8853081392339863,60
