sample_id,class,board_id,selected_alpha,pixel_diff_ap,pixel_diff_auc,pixel_diff_positive_patches,pixel_diff_negative_patches,pixel_diff_pos_mean,pixel_diff_neg_mean,pixel_diff_lift,pixel_diff_top1_hit,pixel_diff_top5_hit,pixel_diff_top10_hit,dinov2_diff_ap,dinov2_diff_auc,dinov2_diff_positive_patches,dinov2_diff_negative_patches,dinov2_diff_pos_mean,dinov2_diff_neg_mean,dinov2_diff_lift,dinov2_diff_top1_hit,dinov2_diff_top5_hit,dinov2_diff_top10_hit,hybrid_pixel_dino_ap,hybrid_pixel_dino_auc,hybrid_pixel_dino_positive_patches,hybrid_pixel_dino_negative_patches,hybrid_pixel_dino_pos_mean,hybrid_pixel_dino_neg_mean,hybrid_pixel_dino_lift,hybrid_pixel_dino_top1_hit,hybrid_pixel_dino_top5_hit,hybrid_pixel_dino_top10_hit
01_missing_hole_01,Missing_hole,01,0.8,0.44041728478330383,0.7463556851311953,14,1470,4.429408073425293,0.47782206535339355,9.269994735717773,True,True,True,0.6646135818102901,0.958357628765792,14,1470,0.07575230300426483,0.0011167388875037432,67.83289337158203,True,True,True,0.6527164808176584,0.8900874635568512,14,1470,0.20057202875614166,0.005517345853149891,36.35293197631836,True,True,True
01_missing_hole_02,Missing_hole,01,0.8,0.3469028479250599,0.7024456521739131,12,1472,5.706814289093018,0.47777432203292847,11.944581031799316,True,True,True,0.5884260316162752,0.9390285326086956,12,1472,0.059398103505373,0.0012213391019031405,48.63319778442383,True,True,True,0.5902461373901124,0.9054008152173914,12,1472,0.2595498859882355,0.00614587776362896,42.23147201538086,True,True,True
01_missing_hole_03,Missing_hole,01,0.8,0.592717016031894,0.857157394843962,10,1474,5.840234756469727,0.47880449891090393,12.197535514831543,True,True,True,0.3922145923427688,0.9652645861601086,10,1474,0.062449563294649124,0.0020806260872632265,30.0146541595459,False,True,True,0.629000785439277,0.9605156037991859,10,1474,0.3173080384731293,0.008218472823500633,38.60907745361328,True,True,True
01_missing_hole_04,Missing_hole,01,0.8,0.3998818831336876,0.6594202898550725,12,1472,4.470702648162842,0.4790446162223816,9.332539558410645,True,True,True,0.2347177858084436,0.9294610507246377,12,1472,0.03624189645051956,0.002068232512101531,17.52304458618164,False,True,True,0.43561159134143385,0.8374660326086957,12,1472,0.2063683420419693,0.007492628414183855,27.542816162109375,True,True,True
01_missing_hole_05,Missing_hole,01,0.8,0.5006102303429222,0.6752561475409836,20,1464,4.4759111404418945,0.48043498396873474,9.31637191772461,True,True,True,0.46443396545153365,0.9633879781420764,20,1464,0.06533487886190414,0.002247276483103633,29.07278823852539,True,True,True,0.5827540489252194,0.9295765027322404,20,1464,0.18117675185203552,0.006000306457281113,30.194536209106445,True,True,True
01_missing_hole_06,Missing_hole,01,0.8,0.41667468481085645,0.7780230978260869,12,1472,5.09765625,0.47891372442245483,10.644206047058105,True,True,True,0.40027610550428977,0.8260869565217391,12,1472,0.07199100404977798,0.0021137401927262545,34.05842971801758,False,True,True,0.5322501789962233,0.8220108695652174,12,1472,0.25982388854026794,0.0073813567869365215,35.19997024536133,True,True,True
01_missing_hole_07,Missing_hole,01,0.8,0.7030076273414518,0.8135006784260516,10,1474,8.16718864440918,0.47893789410591125,17.052709579467773,True,True,True,0.5970187165775401,0.9953867028493893,10,1474,0.11022821813821793,0.002213970059528947,49.78736114501953,False,True,True,0.8116900533798425,0.9961329715061058,10,1474,0.41698962450027466,0.0074182841926813126,56.21098709106445,True,True,True
01_missing_hole_08,Missing_hole,01,0.8,0.5078769196258941,0.7829200634057971,12,1472,5.1170783042907715,0.4789048433303833,10.684958457946777,True,True,True,0.36340236032707174,0.8847939311594204,12,1472,0.07138608396053314,0.002126005943864584,33.57740020751953,False,True,True,0.5374164530892065,0.8184442934782609,12,1472,0.3486901819705963,0.009915761649608612,35.16520690917969,True,True,True
01_missing_hole_09,Missing_hole,01,0.8,0.4376720092371688,0.6829931972789116,14,1470,6.149554252624512,0.47904708981513977,12.837056159973145,True,True,True,0.5114811599283675,0.949757045675413,14,1470,0.07097481936216354,0.0021513926330953836,32.99002456665039,False,True,True,0.7061895925036543,0.9026724975704566,14,1470,0.30835607647895813,0.00756051205098629,40.78502655029297,True,True,True
01_missing_hole_10,Missing_hole,01,0.8,0.44599982957081175,0.7076775905696475,11,1473,4.888376235961914,0.4789845943450928,10.205706596374512,True,True,True,0.30843198064157046,0.905326174165278,11,1473,0.0625491738319397,0.0020898738875985146,29.929500579833984,False,True,True,0.47160003543599033,0.7995432944516447,11,1473,0.27204909920692444,0.00825363490730524,32.96108627319336,True,True,True
